ticker,ftcode
GED,136980
G88,409569783
GMR,2912695
GMY,43581989
GMG,200328
GOO,367477432
GOW,140949
GPS,58120372
GPT,141354
GNG,31830468
GNC,140322
GGE,1751230
GBA,135713
GRR,141962
GPX,351271957
GBR,371335125
GTE,7128281
GSL,2754745
GXL,7501403
GGG,4802236
GPP,8707205
GRV,142048
GOZ,7486256
GTR,8019801
GTN,349800590
GMC,7964293
GUL,142970
GWA,143461
GWR,143438
HMX,198572
HHM,146303
HNR,148261
HSN,149766
HAR,27596288
HDY,5336533
HT8,263319
HVN,150534
HAS,10111515
HAV,144287
HOG,4501894
HWK,296612
HAW,140399
HZR,318609859
HSO,76878343
HMO,373340243
HE8,26083820
HLX,147577
HLO,172915
HML,323178817
HRR,149408
HXG,13775205
HNG,148163
HHY,1579829
HGM,152189
HPR,6903499
HFR,40634036
HIG,146525
HEG,145476
HGO,146094
HIL,146595
HIT,146707
HCT,70369
HOM,148595
HRN,374122535
HZN,151244
HOR,24800909
HCH,23349945
HOT,363486607
HPI,70099155
HRL,8866106
HT1,46899
HUB,7884268
HGL,146066
HDX,7734114
HUO,79784463
HTA,149916
IS3,375615533
IB8,300267280
IBN,50941836
ICI,322656327
ICQ,48990831
ICT,19876426
ICN,152427
ICS,152570
IEL,318107285
IDT,153068
IKE,371391348
IKW,35692799
ILU,165620
IMA,165705
IBX,414952026
IMD,165817
IMF,165855
IMC,46073
IMM,233959
IPT,5937552
IPD,8800759
IMS,135960
IPC,59813
IHL,7082868
IMU,166274
IAB,58123571
ICG,11631598
IPL,168284
INK,4559880
IGO,164649
IRL,7382858
IDA,136598
IDO,42311
IDC,25182360
IDZ,52015058
IND,210881
IDR,69855769
IFN,3416619
IFM,164179
IFT,25167901
INA,283015
ING,369734787
IIL,70485942
IAG,151417
IDX,310471326
IGE,2115191
ITL,37854601
IP1,373330958
IRI,168752
IHR,449420550
IRC,168649
IEQ,163856
IGS,267736
IHS,40371687
IAM,136016
IEC,7666033
IAU,215251
IVT,138528
IOF,45562164
IVR,6903497
INV,1657170
IVO,51466437
IVX,21702210
IVQ,164836
IVC,170912
IOD,226952
IFL,164151
IOT,26261698
IPB,56127405
IPE,168207
IPH,80536724
IQ3,86359753
IRE,168679
INM,342556346
IRD,11832296
IBC,151710
